"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"POST /api/HttpTriggerJS1?code=dop/aTm6SCDIyAaudKn25mY85pczrZOft630FOFu4uzxPBxiuIGkxw==",6034,1200,1400,1500,1700,2100,2400,2700,2900,8474
"None Total",6034,1200,1400,1500,1700,2100,2400,2700,2900,8474
