"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"POST /api/HttpTriggerJS1?code=dop/aTm6SCDIyAaudKn25mY85pczrZOft630FOFu4uzxPBxiuIGkxw==",6367,710,820,900,960,1100,1300,1600,2000,11575
"None Total",6367,710,820,900,960,1100,1300,1600,2000,11575
