"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"POST /calculate_pi",14585,310,400,500,630,3400,6600,8700,9600,20389
"None Total",14585,310,400,500,630,3400,6600,8700,9600,20389
