"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","/prod/pi/",7534,0,530,534,43,1841,3,306.92
"None","Total",7534,0,530,534,43,1841,3,306.92
