"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","//calculate_pi",11908,0,820,900,86,9650,1,244.12
"None","Total",11908,0,820,900,86,9650,1,244.12
